"piler_party","party_id","party_code","party_name","Country"
"The Social Democratic Party of Albania - PSD",838,"PSD","Social Democratic Party of Albania","Albania"
"The Socialist Movement for Integration - LSI",2297,"LSI","Socialist Movement for Integration","Albania"
"The Socialist Party of Albania - PSSH",1729,"PSS","Socialist Party of Albania","Albania"
"Union for Human Rights Party - PBDNJ",1636,"PBDN","Unity for Human Rights Party","Albania"
"Unity for Human Rights Party",1636,"PBDN","Unity for Human Rights Party","Albania"
"Age 54",,,,"Algeria"
"Al-Moustakbal (Future) Front",,,,"Algeria"
"Algerian National Front",4098,"FNA","Algerian National Front","Algeria"
"Algerian National Front (FNA)",4098,"FNA","Algerian National Front","Algeria"
"Algerian National Party",,,,"Algeria"
"Algerian Popular Movement (MPA)",,,,"Algeria"
"Algerian Renewal Party",8868,"PRA","Party of Algerian Renewal","Algeria"
"Amal Algeria Group",,,,"Algeria"
"Democratic National Rally",4113,"RND","National Rally for Democracy","Algeria"
"EL ADALA",,,,"Algeria"
"El Binaa (National Construction Movement)",,,,"Algeria"
"El-Infitah",,,,"Algeria"
"Ennahda (MN)",6219,"MRI","Movement of the Islamic Renaissance","Algeria"
"FAN",,,,"Algeria"
"FFS",4114,"FFS","Socialist Forces Front","Algeria"
"FJD",,,,"Algeria"
"FLN",4111,"FLN","National Liberation Front","Algeria"
"Freedom and Justice Party",,,,"Algeria"
"Front national algérien",4098,"FNA","Algerian National Front","Algeria"
"Front of Socialist Forces",4114,"FFS","Socialist Forces Front","Algeria"
"Front of Socialist Forces (FFS)",4114,"FFS","Socialist Forces Front","Algeria"
"Future Front",,,,"Algeria"
"Generation of  54",,,,"Algeria"
"Islamic Renaissance Movement (MN)",6219,"MRI","Movement of the Islamic Renaissance","Algeria"
"Islamic Renaissance Movement (Nahda)",6219,"MRI","Movement of the Islamic Renaissance","Algeria"
"Jil Jadid",,,,"Algeria"
"Justice and Development Front",,,,"Algeria"
"MSP/Hamas",5221,"MSPP","Movement for the Society of Peace","Algeria"
"Mouvement de la société pour la paix / Hamas",5221,"MSPP","Movement for the Society of Peace","Algeria"
"Movement for National Reform",5222,"MPRN","Movement for National Reform","Algeria"
"Movement for National Reform  (Islah)",5222,"MPRN","Movement for National Reform","Algeria"
"Movement for Youth and Democracy",,,,"Algeria"
"Movement of Free Nationalists",,,,"Algeria"
"Movement of Society for Peace",5221,"MSPP","Movement for the Society of Peace","Algeria"
"Movement of Society for Peace (HMS)",5221,"MSPP","Movement for the Society of Peace","Algeria"
"Movement of Society for Peace (Hamas)",5221,"MSPP","Movement for the Society of Peace","Algeria"
"Movement of the Islamic Renaissance",6219,"MRI","Movement of the Islamic Renaissance","Algeria"
"National Construction Mvt",,,,"Algeria"
"National Democratic Front",,,,"Algeria"
"National Direction",,,,"Algeria"
"National Fidelity Party",,,,"Algeria"
"National Front of Independents for Harmony",,,,"Algeria"
"National Liberation Front",4111,"FLN","National Liberation Front","Algeria"
"National Liberation Front (FLN)",4111,"FLN","National Liberation Front","Algeria"
"National Party for Solidarity and Development",,,,"Algeria"
"National Rally for Democracy",4113,"RND","National Rally for Democracy","Algeria"
"National Rally for Democracy (RND)",4113,"RND","National Rally for Democracy","Algeria"
"National Republican Alliance",,,,"Algeria"
"National Republican Rally",,,,"Algeria"
"New Dawn (PFJ)",,,,"Algeria"
"New Dawn Party",,,,"Algeria"
"New Generation (Jil Jadid)",,,,"Algeria"
"Party of Algerian Renewal",8868,"PRA","Party of Algerian Renewal","Algeria"
"Party of the Algerian Renewal (PRA)",8868,"PRA","Party of Algerian Renewal","Algeria"
"RCD",6120,"RCD","Rally for Culture and Democracy","Algeria"
"RND",4113,"RND","National Rally for Democracy","Algeria"
"Rally For Culture and Democracy",6120,"RCD","Rally for Culture and Democracy","Algeria"
"Rally for Culture and Democracy",6120,"RCD","Rally for Culture and Democracy","Algeria"
"Rally for Culture and Democracy (RCD)",6120,"RCD","Rally for Culture and Democracy","Algeria"
"Renaissance Movement",6219,"MRI","Movement of the Islamic Renaissance","Algeria"
"Socialist Forces Front",4114,"FFS","Socialist Forces Front","Algeria"
"Socialist Forces Front (FFS)",4114,"FFS","Socialist Forces Front","Algeria"
"Socialist Labor Party",,,,"Algeria"
"TAJ",8734,"TAJ","Rally for Hope for Algeria","Algeria"
"Taj",8734,"TAJ","Rally for Hope for Algeria","Algeria"
"The National Rally for Democracy (RND)",4113,"RND","National Rally for Democracy","Algeria"
"The Rally of Algerian Hope (TAJ)",8734,"TAJ","Rally for Hope for Algeria","Algeria"
"Worker's Party",5622,"PT","Workers' Party","Algeria"
"Workers Party (PT)",5622,"PT","Workers' Party","Algeria"
"Workers' Party",5622,"PT","Workers' Party","Algeria"
"Workers' Party",5622,"PT","Workers' Party","Algeria"
"Workers' Party",5622,"PT","Workers' Party","Algeria"
"Workers' Party (PT)",5622,"PT","Workers' Party","Algeria"
"Youth Party",,,,"Algeria"
"Centre Democratic Andorra",,,,"Andorra"
"Democrats for Andorra",3713,"DA","Democrats for Andorra","Andorra"
"Els Verds dAndorra",3676,"VA","Greens of Andorra","Andorra"
"Greens of Andorra",3676,"VA","Greens of Andorra","Andorra"
"Liberal Party of Andorra",3673,"UL / PLA","Liberal Union / Liberal Party of Andorra","Andorra"
"Partit Liberal",,,,"Andorra"
"Partit Socialdemocrata",3675,"PS","Social Democratic Party","Andorra"
"Renovacio democratica",3674,"RD","Democratic Renewal","Andorra"
"Segle XXI",,,,"Andorra"
"Social Democracy and Progress",5875,"SDP","Social Democracy and Progress","Andorra"
"Social Democratic Party",3675,"PS","Social Democratic Party","Andorra"
"We can of Andorra",,,,"Andorra"
"CASA-CE - Manuel Fernandes",3556,"CASA — CE","Broad Convergence for the Salvation of Angola — Electoral Coalition","Angola"
"CASA-CE/ Andre Mendes de Carvalho ""Miau""",3556,"CASA — CE","Broad Convergence for the Salvation of Angola — Electoral Coalition","Angola"
"FNLA/Lucas Ngonda",5131,"FNLA","National Liberation Front of Angola","Angola"
"FNLA/Nimi a Simbi",5131,"FNLA","National Liberation Front of Angola","Angola"
"MPLA/ João Lourenço",2298,"MPLA","People's Movement for the Liberation of Angola — Labour Party","Angola"
"MPLA/ João Loureço",2298,"MPLA","People's Movement for the Liberation of Angola — Labour Party","Angola"
"PDP-ANA/Simão Makazu",,,,"Angola"
"PRA-JÁ - Abel Chivukuvuku",,,,"Angola"
"PRA-JÁ Servir Angola /Abel Chivukuvuku",,,,"Angola"
"PRS - Benedito Daniel",2342,"PRS","Social Renewal Party","Angola"
"PRS/Benedito Daniel",2342,"PRS","Social Renewal Party","Angola"
"UNITA - Adalberto da Costa Junior",2343,"UNITA","National Union for the Total Independence of Angola","Angola"
"UNITA/ Adalberto da Costa Junior",2343,"UNITA","National Union for the Total Independence of Angola","Angola"
"AR: Acción por la República",6112,"AR","Action for the Republic","Argentina"
"AR: Afirmación para una República Igualitaria (ARI)",1215,"ARI","Support for an Egalitarian Republic","Argentina"
"AR: Alternativa por una República de Iguales (Elisa Carrió)",1215,"ARI","Support for an Egalitarian Republic","Argentina"
"AR: Autodeterminación y Libertad (A y L)",,,,"Argentina"
"AR: Avanza Libertad",,,,"Argentina"
"AR: Coalicion Civica (CC)",6159,"CC","Civic Coalition ARI","Argentina"
"AR: Coalición Cívica (CC)",6159,"CC","Civic Coalition ARI","Argentina"
"AR: Frente Amplio Progresista (FAP)",6161,"FAP","Broad Progressive Front","Argentina"
"AR: Frente País Solidario (FREPASO)",5553,"FREPASO","Front for a Country in Solidarity","Argentina"
"AR: Frente Renovador (FR)",6160,"RF","Renewal Front","Argentina"
"AR: Frente de Izquierda y los Trabajadores (FIT)",6649,"FIT","Workers' Left Front","Argentina"
"AR: Frente de Todos (TODOS)",,,,"Argentina"
"AR: Frente para la Victoria (FPV)",2530,"FPV-PJ","Front for Victory","Argentina"
"AR: Fuerza Republicana",,,,"Argentina"
"AR: Izquierda Unida (IU)",8128,"IU","United Left","Argentina"
"AR: Juntos por el Cambio (Alianza UCR/PRO/CC)",,,,"Argentina"
"AR: La Alianza (UCR-FREPASO)",6116,"ALIANZA","Aliance for Work, Justice, and Education","Argentina"
"AR: Mov. Federal Recrear (López Murphy)",1116,"Recrear","Recreate for Growth","Argentina"
"AR: Movimiento Socialista de los Trabajadores (MST)",1210,"MST","Workers' Socialist Movement","Argentina"
"AR: Nueva Dirigencia",,,,"Argentina"
"AR: Nuevo Encuentro (EDE)",6088,"NE","New Encounter","Argentina"
"AR: Nuevo Movimiento al Socialismo (MAS)",,,,"Argentina"
"AR: Partido Coalición Cívica; Afirmación para una República",6159,"CC","Civic Coalition ARI","Argentina"
"AR: Partido Compromiso para el Cambio (CPC)",2529,"CPC","Commitment to Change","Argentina"
"AR: Partido Comunista (PC)",832,"PC","Communist Party of Argentina","Argentina"
"AR: Partido Demócrata Cristiano (PDC)",5188,"PDC","Christian Democratic Party","Argentina"
"AR: Partido Demócrata Progresista (PDP)",5112,"PDP","Democratic Progressive Party","Argentina"
"AR: Partido Humanista",4180,"PH","Humanist Party","Argentina"
"AR: Partido Humanista / Izquierda Unida (PH/ IU)",,,,"Argentina"
"AR: Partido Independencia",6297,"PI","Independent Party","Argentina"
"AR: Partido Justicialista (PJ)",623,"PJ","Justicialist [Peronist] Party","Argentina"
"AR: Partido Nueva Mayoría (Patricia Bullrich)",,,,"Argentina"
"AR: Partido Obrero (PO)",8082,"PO","Workers' Party","Argentina"
"AR: Partido Peronismo Federal",6648,"PF-PJ","Federal Peronism / Dissident Peronism","Argentina"
"AR: Partido Proyecto Sur",8083,"PS","Project South","Argentina"
"AR: Partido Socialista (PS)",1365,"PS","Socialist Party","Argentina"
"AR: Partido de Rico Modín",4181,"MODIN","Movement for Dignity and Independence","Argentina"
"AR: Partido para una República con Oportunidades (PRO)",1790,"PRO","Republican Proposal","Argentina"
"AR: Propuesta Republicana (PRO)",1790,"PRO","Republican Proposal","Argentina"
"AR: Recrear Argentina (RECREAR)",1116,"Recrear","Recreate for Growth","Argentina"
"AR: Union Civica Radical (UCR)",1724,"UCR","Radical Civic Union","Argentina"
"AR: Unión Cívica Radical (UCR)",1724,"UCR","Radical Civic Union","Argentina"
"AR: Unión del Centro Democrático (UCD)",4182,"UCD","Union of the Democratic Centre","Argentina"
"AR:Cambiemos (Alianza UCR/PRO/CC)",7049,"C","Let's change","Argentina"
"Action for the Republic, Domingo Cavallo",6112,"AR","Action for the Republic","Argentina"
"Alianza UCR Frepaso",6116,"ALIANZA","Aliance for Work, Justice, and Education","Argentina"
"Broad Progressive Front - FAP",6161,"FAP","Broad Progressive Front","Argentina"
"Citizen's Unity, Cristina Fernandez de Kirchner",7664,"CU","Citizen's Unity","Argentina"
"Civic Coalition",6159,"CC","Civic Coalition ARI","Argentina"
"Coalici",,,,"Argentina"
"Coalición Cívica (Carrio coalition)",6159,"CC","Civic Coalition ARI","Argentina"
"Coalición Cívica ARI (CC ARI)",6159,"CC","Civic Coalition ARI","Argentina"
"Coalición Cívica ARI (CC ARI) (Civic Coalition ARI)",6159,"CC","Civic Coalition ARI","Argentina"
"Compromise for change, Macri Party",2529,"CPC","Commitment to Change","Argentina"
"Cristina Fernandez Kirchner",,,,"Argentina"
"Eliza Carrio Party (ARI)",1215,"ARI","Support for an Egalitarian Republic","Argentina"
"Federal Commitment - Alianza Compromiso Federal",7747,"FC","Federal Commitment","Argentina"
"Frente Popular (Popular Front)",,,,"Argentina"
"Frente Renovador (Renovation Front)",6160,"RF","Renewal Front","Argentina"
"Frente de Todos/Peronismo",,,,"Argentina"
"Frente para la Victoria (Front for Victory)",2530,"FPV-PJ","Front for Victory","Argentina"
"Frepaso",5553,"FREPASO","Front for a Country in Solidarity","Argentina"
"Front for Victory",2530,"FPV-PJ","Front for Victory","Argentina"
"Front for Victory - FVP",2530,"FPV-PJ","Front for Victory","Argentina"
"Front for the Victory",2530,"FPV-PJ","Front for Victory","Argentina"
"GEN",8045,"GEN","Generation for a National Encounter","Argentina"
"Generacion para un encuentro nacional (GEN) (Generation for a national encounter)",8045,"GEN","Generation for a National Encounter","Argentina"
"Izquierda Socialista (IS) (Left Socialist)",,,,"Argentina"
"Izquierda Unida",8128,"IU","United Left","Argentina"
"Juntos por el cambio",,,,"Argentina"
"Justicialismo / Peronismo opposition of the Kirchner's",,,,"Argentina"
"Justicialismo / Peronismo pro Kirchnerista",,,,"Argentina"
"Justicialismo oposition of the Kirchner's",,,,"Argentina"
"Justicialismo oposition of the Kirchner's",,,,"Argentina"
"Justicialismo oposition of the Kirchner's",,,,"Argentina"
"Justicialismo oposition of the Kirchners",,,,"Argentina"
"Justicialismo pro Kirchnerista",,,,"Argentina"
"Justicialist Party",623,"PJ","Justicialist [Peronist] Party","Argentina"
"Justicialist [Peronist] Party, Daniel Scioli, Florencio",623,"PJ","Justicialist [Peronist] Party","Argentina"
"Justicialist [Peronist] Party, Daniel Scioli, Florencio Randazzo",623,"PJ","Justicialist [Peronist] Party","Argentina"
"Justicialista Party",623,"PJ","Justicialist [Peronist] Party","Argentina"
"Kirchnerismo - Unidad Cuidadana/Frente para la Victoria",,,,"Argentina"
"La Libertad Avanza/Libertarios/Javier Milei",,,,"Argentina"
"Lavagna group",,,,"Argentina"
"Left Front - Frente de Izquierda",6649,"FIT","Workers' Left Front","Argentina"
"Lopez Murphy Party (Recrear)",1116,"Recrear","Recreate for Growth","Argentina"
"Modin",4181,"MODIN","Movement for Dignity and Independence","Argentina"
"Movimiento Libres del Sur (Freemen of the South Movement)",,,,"Argentina"
"Movimiento Popular Neuquino",868,"MPN","Neuquén People's Movement","Argentina"
"Movimiento al Socialismo (MAS) (Movement to Socialism)",,,,"Argentina"
"PRO (Macri Political Party)",1790,"PRO","Republican Proposal","Argentina"
"PRO (Propuesta Republicana)",1790,"PRO","Republican Proposal","Argentina"
"PTS-Partido de los Trabajadores Socialistas",,,,"Argentina"
"Partido Humanista",4180,"PH","Humanist Party","Argentina"
"Partido Obrero (PO) (Worker's Party)",8082,"PO","Workers' Party","Argentina"
"Partido Obrero (PO) (Worker's Party)",8082,"PO","Workers' Party","Argentina"
"Partido Obrero (PO) (Worker's Party)",8082,"PO","Workers' Party","Argentina"
"Partido Socialista (Socialist Party)",1365,"PS","Socialist Party","Argentina"
"Partido Socialista Autentico (Authentic Socialist Party)",6435,"SA","Argentine Socialist","Argentina"
"Partido de los Trabajadores Socialistas (PTS) (Socialist Workers Party)",,,,"Argentina"
"Peronismo / Justicialismo",623,"PJ","Justicialist [Peronist] Party","Argentina"
"Peronismo/justicialismo no Kirchnerista",,,,"Argentina"
"Popular Front - Frente Popular",,,,"Argentina"
"Progressives",,,,"Argentina"
"Propuesta Republicana - PRO (Republican Proposal)",1790,"PRO","Republican Proposal","Argentina"
"Propuesta Republicana – PRO (Republican Proposal)",1790,"PRO","Republican Proposal","Argentina"
"Radical Civic Union",1724,"UCR","Radical Civic Union","Argentina"
"Radical Civic Union, Ricardo Alfonsin",1724,"UCR","Radical Civic Union","Argentina"
"Radicalismo",1724,"UCR","Radical Civic Union","Argentina"
"Republican Proposal",1790,"PRO","Republican Proposal","Argentina"
"Republican Proposal, Maria Eugenia Vidal",1790,"PRO","Republican Proposal","Argentina"
"Ricardo Alfonsin",,,,"Argentina"
"Socialismo",1365,"PS","Socialist Party","Argentina"
"Socialist Party, Hermes Binner",1365,"PS","Socialist Party","Argentina"
"Together for Change, Macri",,,,"Argentina"
"UCR (Union Civica Radical)",1724,"UCR","Radical Civic Union","Argentina"
"UCR Frepaso Alliance",6116,"ALIANZA","Aliance for Work, Justice, and Education","Argentina"
"UNEN (CABA) / Coalición Cívica + Radicales mas + Socialistas + Proyecto Sur (Resto del pais)",,,,"Argentina"
"Union Civica Radical (Radical Civic Union)",1724,"UCR","Radical Civic Union","Argentina"
"Union for Social Development - EDUSO",,,,"Argentina"
"United for a New Alternative",,,,"Argentina"
"'Apricot`s country' Party",,,,"Armenia"
"'Exit' (Way out) Party Union",,,,"Armenia"
"Amenian National Congress",4539,"HAK","Armenian National Congress","Armenia"
"Armenian Alliance",,,,"Armenia"
"Armenian Communist Party",2018,"HKK","Armenian Communist Party","Armenia"
"Armenian Communist Party - Hayastani Komunistakan Kusaktsutyun (HKK)",2018,"HKK","Armenian Communist Party","Armenia"
"Armenian Democratic Liberal Party - Hayastani Ramkavar Azatakan Kusaktsutyun (HRAK)",,,,"Armenia"
"Armenian National Congress (former All-Armenian Movement)",4539,"HAK","Armenian National Congress","Armenia"
"Armenian Renaissance Party (Former Rule of Law)",2007,"OEK/HV","Rule of Law / Armenian Renaissance","Armenia"
"Armenian Revolutionary Federation",2020,"HHD","Armenian Revolutionary Federation","Armenia"
"Armenian Revolutionary Federation - Hay Heghapokhakan Dashnaktsutyun (HHD)",2020,"HHD","Armenian Revolutionary Federation","Armenia"
"Artsakh-Hayastan Hasarakakan-Kaghakakan Kazmakerputyun AHKK",,,,"Armenia"
"Azgayin Inknoroshum Miavorum",2010,"AIM","National Self-Determination Union","Armenia"
"Bright Armenia",7507,"BA","Bright Armenia","Armenia"
"Christian-Democratic Rebirth Party",,,,"Armenia"
"Citizen's Decision",,,,"Armenia"
"Civil Contract",7754,"KP","Civil Contract","Armenia"
"Communist Party of Armenia",8012,"CPA","Communist Party of Armenia","Armenia"
"Dashink' Party",4206,"DP","Dashinq Party/Union Party","Armenia"
"Democratic Party of Armenia",6237,"DPA","Democratic Party of Armenia","Armenia"
"Democratic Party of Armenia - Hayastani Demokratakan Kusaktsutyun (HDK)",6237,"DPA","Democratic Party of Armenia","Armenia"
"Free Democrats Party",,,,"Armenia"
"Gita-ardyunaberakan ev Kaghakatsiakan Miutyun (GKM)",,,,"Armenia"
"Heritage Party",3783,"HePa","Heritage Party","Armenia"
"Impeachment Alliance",,,,"Armenia"
"Kristonya-Demokratakan Miutyun (KDM)",,,,"Armenia"
"Mighty Homeland",,,,"Armenia"
"National Agenda Party",,,,"Armenia"
"National Democratic Union",2009,"AZhM","National Democratic Union","Armenia"
"National Unity",2011,"AM","National Unity","Armenia"
"National Unity - Azgayin Gzoghovrdakan Miutyun (AGzM)",2011,"AM","National Unity","Armenia"
"New Times",,,,"Armenia"
"Pan-Armenian National Movement",4365,"HHS","Pan-Armenian National Movement","Armenia"
"Pan-Armenian National Movement - Hayots Hamazgayin Shargzum (HHSh)",4365,"HHS","Pan-Armenian National Movement","Armenia"
"People's Party",8367,"ZK","People's Party","Armenia"
"People's Party of Armenia",8367,"ZK","People's Party","Armenia"
"Peoples Party of Armenia",8367,"ZK","People's Party","Armenia"
"Prosperous Armenia",4205,"BHK","Prosperous Armenia Party","Armenia"
"Republic",2012,"HA","Republic","Armenia"
"Republic Party",2012,"HA","Republic","Armenia"
"Republican Party of Armenia",2013,"HHK","Republican Party of Armenia","Armenia"
"Republican Party of Armenia - Hayastani Hanrapetakan Kusaksutyun (HHK)",2013,"HHK","Republican Party of Armenia","Armenia"
"Rule of Law",2007,"OEK/HV","Rule of Law / Armenian Renaissance","Armenia"
"Rule of Law / Armenian Renaissance",2007,"OEK/HV","Rule of Law / Armenian Renaissance","Armenia"
"Sahmanadrakan Iravunk Miutyun (SIM)",,,,"Armenia"
"Sasna Tsrer Pan-Armenian Party",,,,"Armenia"
"Shamiram Women's Movement (SWM)",2015,"Sha","Semiramis (Women's Movement)","Armenia"
"Social Democrat Hunchakian Party",,,,"Armenia"
"Sotsial-Demokratakan Hnchakyan Kusaktsutyun",,,,"Armenia"
"Tagavorakan Kusaktsutyun (TaK)",,,,"Armenia"
"Tsarukyan Block (Prosperous Armenia Party)",8804,"TD","Tsarukyan Alliance","Armenia"
"United Labour Party",2016,"MAK","United Labour Party","Armenia"
"Animal Justice Party",,,,"Australia"
"Austral. Democrats",990,"AD","Australian Democrats","Australia"
"Austral. labour p",424,"ALP","Australian Labor Party","Australia"
"Australia First Party",,,,"Australia"
"Australia Greens",1209,"AG","Australian Greens","Australia"
"Australian Christians",,,,"Australia"
"Australian Conservatives",,,,"Australia"
"Australian Cyclists Party",,,,"Australia"
"Australian Democrat",990,"AD","Australian Democrats","Australia"
"Australian Democrats",990,"AD","Australian Democrats","Australia"
"Australian Greens",1209,"AG","Australian Greens","Australia"
"Australian Labor Party",424,"ALP","Australian Labor Party","Australia"
"Australian Labor Party (ALP)",424,"ALP","Australian Labor Party","Australia"
"Australian Labor Party - ALP",424,"ALP","Australian Labor Party","Australia"
"Australian Labour Party",424,"ALP","Australian Labor Party","Australia"
"Australian Labour party",424,"ALP","Australian Labor Party","Australia"
"Australian Liberty Alliance",,,,"Australia"
"Australian Motoring Enthusiast Party",,,,"Australia"
"Australian Sex Party",,,,"Australia"
"Australian Shooters Party",,,,"Australia"
"Centre Alliance",,,,"Australia"
"Centre Alliance formerly known as Nick Xenophon Team (NXT)",5453,"NXT","Nick Xenophon Team","Australia"
"Christian Democratic Party",323,"CDP","Christian Democratic Party","Australia"
"Christian Democratic Party (CDP)",323,"CDP","Christian Democratic Party","Australia"
"Christian Democratic Party (Fred Nile Group)",323,"CDP","Christian Democratic Party","Australia"
"Citizens Electoral Council",,,,"Australia"
"Country Liberal Party (Nor.Terr)",143,"CLP","Country Liberal Party","Australia"
"Democratic Labor Party",1540,"DLP","Democratic Labour Party","Australia"
"Democratic Labour Party",1540,"DLP","Democratic Labour Party","Australia"
"Democratic Labour Party (DLP)",1540,"DLP","Democratic Labour Party","Australia"
"Democratic Labour Party - DLP",1540,"DLP","Democratic Labour Party","Australia"
"Democrats",990,"AD","Australian Democrats","Australia"
"Derryn Hinch's Justice Party",,,,"Australia"
"Derryn Hinch's Justice Party (Justice Party)",,,,"Australia"
"Family First",1263,"FFP","Family First Party","Australia"
"Family First Party",1263,"FFP","Family First Party","Australia"
"Fraser Anning's Conservative National Party",,,,"Australia"
"Greens",1209,"AG","Australian Greens","Australia"
"Health Australia Party",,,,"Australia"
"Help End Marijuana Prohibition (HEMP) Party",,,,"Australia"
"Information insufficient",,,,"Australia"
"Jacqui Lambie Network",,,,"Australia"
"Jacqui Lambie Network (JLN)",,,,"Australia"
"Katter's Australia Party",1997,"Katter","Katter's Australian Party","Australia"
"Katter's Australian Party",1997,"Katter","Katter's Australian Party","Australia"
"Katter's Australian Party",1997,"Katter","Katter's Australian Party","Australia"
"Katter's Australian Party",1997,"Katter","Katter's Australian Party","Australia"
"Labor",424,"ALP","Australian Labor Party","Australia"
"Labor Party",424,"ALP","Australian Labor Party","Australia"
"Labor Party (ALP)",424,"ALP","Australian Labor Party","Australia"
"Labor Party - ALP",424,"ALP","Australian Labor Party","Australia"
