"piler_party","party_id","party_code","party_name","Country","X5"
"Partia Drejtësi, Integrim dhe Unitet (PDIU)",3270,"PDIU","Party for Justice, Integration and Unity","Albania",
"The Socialist Party of Albania - PSSH",1729,"PSS","Socialist Party of Albania","Albania",
"The Social Democratic Party of Albania - PSD",838,"PSD","Social Democratic Party of Albania","Albania",
"The Social Democracy Party of Albania - PDSSH",,,,"Albania",
"The Socialist Movement for Integration - LSI",2297,"LSI","Socialist Movement for Integration","Albania",
"The Liberal Democracy Party - PDL",,,,"Albania",
"The Democratic Alliance Party - PAD",594,"PAD","Democratic Alliance Party","Albania",
"Union for Human Rights Party - PBDNJ",1636,"PBDN","Unity for Human Rights Party","Albania",
"The Environmentalist Agrarian Party - PAA",,,,"Albania",
"The Democratic Party of Albania - PD",190,"PDS","Democratic Party of Albania","Albania",
"The New Democratic Party - PDR",1558,"PDR","New Democratic Party","Albania",
"Reformed Democratic Party",,,,"Albania",
"Republican Party of Albania - PR",819,"PRS","Republican Party of Albania","Albania",
"The Christian Democratic Party of Albania - PDK",7013,"PDK","Demochristian Party of Albania","Albania",
"National Front Party - PBK",674,"BKS","Albanian National Front Party","Albania",
"Movement for Legality Party - PLL",732,"PLL","Movement of Legality Party","Albania",
"Democratic Party, PD",190,"PDS","Democratic Party of Albania","Albania",
"The Human Rights Union Party",1636,"PBDN","Unity for Human Rights Party","Albania",
"Movement of Legality Party",732,"PLL","Movement of Legality Party","Albania",
"New Democrat Party",1558,"PDR","New Democratic Party","Albania",
"Justice, Integration and Unity Party",3270,"PDIU","Party for Justice, Integration and Unity","Albania",
"Environmental Party",,,,"Albania",
"Agrarian Environmentalist Party",,,,"Albania",
"Communist Party of Albania",,,,"Albania",
"The People's Alliance Party",,,,"Albania",
"Equal List, LIBRA",8491,"LIBRA","Libra Party","Albania",
"Partia Socialiste - Socialist Party",1729,"PSS","Socialist Party of Albania","Albania",
"Partia Demokratike - Democratic Party",190,"PDS","Democratic Party of Albania","Albania",
"Partia Social Demokrate - The Social Democrat Party",838,"PSD","Social Democratic Party of Albania","Albania",
"Partia Republikane - The Republican Party",819,"PRS","Republican Party of Albania","Albania",
"Partia e AlencAs Demokratike - The Democratic Alliance Party",594,"PAD","Democratic Alliance Party","Albania",
"Partia e tA Drejtave tA Njeriut - The Human Rights Party",1636,"PBDN","Unity for Human Rights Party","Albania",
"Partia e Ballit -The Front Party",8377,"BK","National Front","Albania",
"Partia e Legalitetit - The Legalization Party",732,"PLL","Movement of Legality Party","Albania",
"Partia Agrare The Agricultural Party",840,"PA","Agrarian Party","Albania",
"Partia e Demokristiane -The Demochristian Party",7013,"PDK","Demochristian Party of Albania","Albania",
"Partia Komuniste - The Communist Party",,,,"Albania",
"Partia DjathtA Demokratike - The Right (wing) Democratic Party",,,,"Albania",
"Levizja per Demokraci (PLD)",,,,"Albania",
"Party of Union for Democracy (PUD)",,,,"Albania",
"The Reformed Democratic Party",,,,"Albania",
"Republican Party of Albania",819,"PRS","Republican Party of Albania","Albania",
"The Democratic Alliance Party",594,"PAD","Democratic Alliance Party","Albania",
"Unity for Human Rights Party",1636,"PBDN","Unity for Human Rights Party","Albania",
"Albanian National Front Party",674,"BKS","Albanian National Front Party","Albania",
"The Legality Movement Party",732,"PLL","Movement of Legality Party","Albania",
"The Communist Party of Albania",,,,"Albania",
"Party of Labour / Albanian Workers' Party",4711,"PPSH","Party of Labour / Albanian Workers' Party","Albania",
"Worker's Party",5622,"PT","Workers' Party","Algeria",
"Workers' Party",5622,"PT","Workers' Party","Algeria",
"RND",4113,"RND","National Rally for Democracy","Algeria",
"National Liberation Front",4111,"FLN","National Liberation Front","Algeria",
"National Rally for Democracy",4113,"RND","National Rally for Democracy","Algeria",
"Front of Socialist Forces",,,,"Algeria",
"Rally for Culture and Democracy",6120,"RCD","Rally for Culture and Democracy","Algeria",
"Workers’ Party",5622,"PT","Workers' Party","Algeria",
"Renaissance Movement",,,,"Algeria",
"Movement of Society for Peace",5221,"MSPP","Movement for the Society of Peace","Algeria",
"TAJ",8734,"TAJ","Rally for Hope for Algeria","Algeria",
"Party of Algerian Renewal",8868,"PRA","Party of Algerian Renewal","Algeria",
"Algerian National Front",4098,"FNA","Algerian National Front","Algeria",
"National Direction",,,,"Algeria",
"National Liberation Front (FLN)",4111,"FLN","National Liberation Front","Algeria",
"The National Rally for Democracy (RND)",4113,"RND","National Rally for Democracy","Algeria",
"Socialist Forces Front (FFS)",4114,"FFS","Socialist Forces Front","Algeria",
"Workers' Party (PT)",5622,"PT","Workers' Party","Algeria",
"Movement of Society for Peace (HMS)",5221,"MSPP","Movement for the Society of Peace","Algeria",
"Islamic Renaissance Movement (MN)",6219,"MRI","Movement of the Islamic Renaissance","Algeria",
"The Rally of Algerian Hope (TAJ)",8734,"TAJ","Rally for Hope for Algeria","Algeria",
"EL ADALA",,,,"Algeria",
"Algerian Popular Movement (MPA)",,,,"Algeria",
"New Dawn (PFJ)",,,,"Algeria",
"National Rally for Democracy (RND)",4113,"RND","National Rally for Democracy","Algeria",
"Movement of Society for Peace (Hamas)",5221,"MSPP","Movement for the Society of Peace","Algeria",
"Ennahda (MN)",6219,"MRI","Movement of the Islamic Renaissance","Algeria",
"Front of Socialist Forces (FFS)",4114,"FFS","Socialist Forces Front","Algeria",
"Rally for Culture and Democracy (RCD)",6120,"RCD","Rally for Culture and Democracy","Algeria",
"Taj",8734,"TAJ","Rally for Hope for Algeria","Algeria",
"Party of the Algerian Renewal (PRA)",8868,"PRA","Party of Algerian Renewal","Algeria",
"Algerian National Front (FNA)",4098,"FNA","Algerian National Front","Algeria",
"New Generation (Jil Jadid)",,,,"Algeria",
"RCD",6120,"RCD","Rally for Culture and Democracy","Algeria",
"Socialist Forces Front",4114,"FFS","Socialist Forces Front","Algeria",
"Democratic National Rally",,,,"Algeria",
"Rally For Culture and Democracy",6120,"RCD","Rally for Culture and Democracy","Algeria",
"Islamic Renaissance Movement (Nahda)",6219,"MRI","Movement of the Islamic Renaissance","Algeria",
"Movement for National Reform  (Islah)",5222,"MPRN","Movement for National Reform","Algeria",
"National Front of Independents for Harmony",,,,"Algeria",
"National Democratic Front",,,,"Algeria",
"Socialist Labor Party",,,,"Algeria",
"Algerian Renewal Party",,,,"Algeria",
"Age 54",,,,"Algeria",
"National Republican Rally",,,,"Algeria",
"National Republican Alliance",,,,"Algeria",
"Movement for Youth and Democracy",,,,"Algeria",
"El-Infitah",,,,"Algeria",
"Freedom and Justice Party",,,,"Algeria",
"Al-Moustakbal (Future) Front",,,,"Algeria",
"New Dawn Party",,,,"Algeria",
"Movement of Free Nationalists",,,,"Algeria",
"Youth Party",,,,"Algeria",
"Algerian National Party",,,,"Algeria",
"Jil Jadid",,,,"Algeria",
"National Fidelity Party",,,,"Algeria",
"Amal Algeria Group",,,,"Algeria",
"El Binaa (National Construction Movement)",,,,"Algeria",
"FLN",4111,"FLN","National Liberation Front","Algeria",
"MSP/Hamas",,,,"Algeria",
"National Construction Mvt",,,,"Algeria",
"Workers Party (PT)",5622,"PT","Workers' Party","Algeria",
"Future Front",,,,"Algeria",
"FJD",,,,"Algeria",
"FAN",,,,"Algeria",
"FFS",4114,"FFS","Socialist Forces Front","Algeria",
"Mouvement de la société pour la paix / Hamas",,,,"Algeria",
"Movement of the Islamic Renaissance",6219,"MRI","Movement of the Islamic Renaissance","Algeria",
"Movement for National Reform",5222,"MPRN","Movement for National Reform","Algeria",
"Front national algérien",4098,"FNA","Algerian National Front","Algeria",
"Generation of  54",,,,"Algeria",
"National Party for Solidarity and Development",,,,"Algeria",
"Justice and Development Front",,,,"Algeria",
"Social Democratic Party",3675,"PS","Social Democratic Party","Andorra",
"Partit Liberal",,,,"Andorra",
"Centre Democratic Andorra",,,,"Andorra",
"Segle XXI",,,,"Andorra",
"Renovacio democratica",3674,"RD","Democratic Renewal","Andorra",
"Partit Socialdemocrata",3675,"PS","Social Democratic Party","Andorra",
"Els Verds dAndorra",3676,"VA","Greens of Andorra","Andorra",
"Liberal Party of Andorra",3673,"UL / PLA","Liberal Union / Liberal Party of Andorra","Andorra",
"Greens of Andorra",3676,"VA","Greens of Andorra","Andorra",
"We can of Andorra",,,,"Andorra",
"Democrats for Andorra",3713,"DA","Democrats for Andorra","Andorra",
"Social Democracy and Progress",5875,"SDP","Social Democracy and Progress","Andorra",
"MPLA/ João Loureço",2298,"MPLA","People's Movement for the Liberation of Angola — Labour Party","Angola",
"UNITA/ Adalberto da Costa Junior",2343,"UNITA","National Union for the Total Independence of Angola","Angola",
"CASA-CE/ Andre Mendes de Carvalho “Miau”",3556,"CASA — CE","Broad Convergence for the Salvation of Angola — Electoral Coalition","Angola",
"PRS/Benedito Daniel",2342,"PRS","Social Renewal Party","Angola",
"FNLA/Lucas Ngonda",5131,"FNLA","National Liberation Front of Angola","Angola",
"PDP-ANA/Simão Makazu",,,,"Angola",
"PRA-JÁ Servir Angola /Abel Chivukuvuku",,,,"Angola",
"MPLA/ João Lourenço",2298,"MPLA","People's Movement for the Liberation of Angola — Labour Party","Angola",
"UNITA - Adalberto da Costa Junior",2343,"UNITA","National Union for the Total Independence of Angola","Angola",
"CASA-CE - Manuel Fernandes",3556,"CASA — CE","Broad Convergence for the Salvation of Angola — Electoral Coalition","Angola",
"PRS - Benedito Daniel",2342,"PRS","Social Renewal Party","Angola",
"FNLA/Nimi a Simbi",5131,"FNLA","National Liberation Front of Angola","Angola",
"PRA-JÁ - Abel Chivukuvuku",,,,"Angola",
"Front for the Victory",2530,"FPV-PJ","Front for Victory","Argentina",
"United for a New Alternative",,,,"Argentina",
"Progressives",,,,"Argentina",
"Republican Proposal",1790,"PRO","Republican Proposal","Argentina",
"Radical Civic Union",1724,"UCR","Radical Civic Union","Argentina",
"Justicialist Party",623,"PJ","Justicialist [Peronist] Party","Argentina",
"Civic Coalition",6159,"CC","Civic Coalition ARI","Argentina",
"Izquierda Unida",8128,"IU","United Left","Argentina",
"Front for Victory - FVP",2530,"FPV-PJ","Front for Victory","Argentina",
"Broad Progressive Front - FAP",6161,"FAP","Broad Progressive Front","Argentina",
"Union for Social Development - EDUSO",,,,"Argentina",
"Federal Commitment - Alianza Compromiso Federal",7747,"FC","Federal Commitment","Argentina",
"Left Front - Frente de Izquierda",6649,"FIT","Workers' Left Front","Argentina",
"Popular Front - Frente Popular",,,,"Argentina",
"AR: Partido Justicialista (PJ)",623,"PJ","Justicialist [Peronist] Party","Argentina",
"AR: Frente PaÃ­s Solidario (FREPASO)",5553,"FREPASO","Front for a Country in Solidarity","Argentina",
"AR: UniÃ³n CÃ­vica Radical (UCR)",1724,"UCR","Radical Civic Union","Argentina",
"AR: Partido DemÃ³crata Progresista (PDP)",5112,"PDP","Democratic Progressive Party","Argentina",
"AR: Partido Proyecto Sur",8083,"PS","Project South","Argentina",
"AR: Partido Peronismo Federal",6648,"PF-PJ","Federal Peronism / Dissident Peronism","Argentina",
"AR: Partido de Rico ModÃ­n",4181,"MODIN","Movement for Dignity and Independence","Argentina",
"AR: UniÃ³n del Centro DemocrÃ¡tico (UCD)",4182,"UCD","Union of the Democratic Centre","Argentina",
"AR: Fuerza Republicana",,,,"Argentina",
"AR: Partido Independencia",,,,"Argentina",
"AR: Nuevo Movimiento al Socialismo (MAS)",,,,"Argentina",
"AR: Partido Humanista / Izquierda Unida (PH/ IU)",4180,"PH","Humanist Party","Argentina",
"AR: Partido Socialista (PS)",1365,"PS","Socialist Party","Argentina",
"AR: Partido Comunista (PC)",832,"PC","Communist Party of Argentina","Argentina",
"AR: Partido Obrero (PO)",8082,"PO","Workers' Party","Argentina",
"AR: La Alianza (UCR-FREPASO)",,,,"Argentina",
"AR: AcciÃ³n por la RepÃºblica",6112,"AR","Action for the Republic","Argentina",
"AR: Partido Nueva MayorÃ­a (Patricia Bullrich)",,,,"Argentina",
"AR: Nueva Dirigencia",,,,"Argentina",
"AR: Mov. Federal Recrear (LÃ³pez Murphy)",1116,"Recrear","Recreate for Growth","Argentina",
"AR: Alternativa por una RepÃºblica de Iguales (Elisa CarriÃ³)",1215,"ARI","Support for an Egalitarian Republic","Argentina",
"AR: Izquierda Unida (IU)",8128,"IU","United Left","Argentina",
"AR: Partido CoaliciÃ³n CÃ­vica; AfirmaciÃ³n para una RepÃºblica",6159,"CC","Civic Coalition ARI","Argentina",
"AR: Partido Compromiso para el Cambio (CPC)",2529,"CPC","Commitment to Change","Argentina",
"AR: Recrear Argentina (RECREAR)",1116,"Recrear","Recreate for Growth","Argentina",
"AR: AutodeterminaciÃ³n y Libertad (A y L)",,,,"Argentina",
"AR: Partido DemÃ³crata Cristiano (PDC)",5188,"PDC","Christian Democratic Party","Argentina",
"AR: Movimiento Socialista de los Trabajadores (MST)",1210,"MST","Workers' Socialist Movement","Argentina",
"AR: Partido para una RepÃºblica con Oportunidades (PRO)",1790,"PRO","Republican Proposal","Argentina",
"AR: Frente para la Victoria (FPV)",2530,"FPV-PJ","Front for Victory","Argentina",
"AR: AfirmaciÃ³n para una RepÃºblica Igualitaria (ARI)",1215,"ARI","Support for an Egalitarian Republic","Argentina",
"AR: Propuesta Republicana (PRO)",1790,"PRO","Republican Proposal","Argentina",
"AR: Partido Coalición Cívica; Afirmación para una República",6159,"CC","Civic Coalition ARI","Argentina",
"AR: Unión Cívica Radical (UCR)",1724,"UCR","Radical Civic Union","Argentina",
"AR: Nuevo Encuentro (EDE)",6088,"NE","New Encounter","Argentina",
"AR: Coalición Cívica (CC)",6159,"CC","Civic Coalition ARI","Argentina",
"AR: Frente Amplio Progresista (FAP)",6161,"FAP","Broad Progressive Front","Argentina",
"AR: Frente de Izquierda y los Trabajadores (FIT)",6649,"FIT","Workers' Left Front","Argentina",
"AR: Frente Renovador (FR)",6160,"RF","Renewal Front","Argentina",
"AR: Partido Humanista",4180,"PH","Humanist Party","Argentina",
"AR:Cambiemos (Alianza UCR/PRO/CC)",,,,"Argentina",
"AR: Union Civica Radical (UCR)",1724,"UCR","Radical Civic Union","Argentina",
"AR: Coalicion Civica (CC)",6159,"CC","Civic Coalition ARI","Argentina",
"AR: Juntos por el Cambio (Alianza UCR/PRO/CC)",,,,"Argentina",
"AR: Frente de Todos (TODOS)",,,,"Argentina",
"AR: Avanza Libertad",,,,"Argentina",
"Radicalismo",1724,"UCR","Radical Civic Union","Argentina",
"Justicialismo pro Kirchnerista",,,,"Argentina",
"Justicialismo oposition of the Kirchners",,,,"Argentina",
"PRO (Macri Political Party)",1790,"PRO","Republican Proposal","Argentina",
"Coalición Cívica (Carrio coalition)",6159,"CC","Civic Coalition ARI","Argentina",
"Justicialismo oposition of the Kirchner's",,,,"Argentina",
"Justicialismo / Peronismo opposition of the Kirchner's",,,,"Argentina",
"Justicialismo / Peronismo pro Kirchnerista",,,,"Argentina",
"UNEN (CABA) / Coalición Cívica + Radicales mas + Socialistas + Proyecto Sur (Resto del pais)",,,,"Argentina",
"Socialismo",1365,"PS","Socialist Party","Argentina",
"Justicialismo oposition of the Kirchner’s",,,,"Argentina",
"GEN",8045,"GEN","Generation for a National Encounter","Argentina",
"PTS-Partido de los Trabajadores Socialistas",,,,"Argentina",
"Movimiento Popular Neuquino",868,"MPN","Neuquén People's Movement","Argentina",
"Partido Humanista",4180,"PH","Humanist Party","Argentina",
"Union Civica Radical (Radical Civic Union)",1724,"UCR","Radical Civic Union","Argentina",
"Propuesta Republicana - PRO (Republican Proposal)",1790,"PRO","Republican Proposal","Argentina",
"Frente para la Victoria (Front for Victory)",2530,"FPV-PJ","Front for Victory","Argentina",
"Coalición Cívica ARI (CC ARI) (Civic Coalition ARI)",6159,"CC","Civic Coalition ARI","Argentina",
"Partido Obrero (PO) (Worker’s Party)",8082,"PO","Workers' Party","Argentina",
"Peronismo / Justicialismo",623,"PJ","Justicialist [Peronist] Party","Argentina",
"Partido Socialista (Socialist Party)",1365,"PS","Socialist Party","Argentina",
"Izquierda Socialista (IS) (Left Socialist)",,,,"Argentina",
"Frente Renovador (Renovation Front)",6160,"RF","Renewal Front","Argentina",
"Partido Socialista Autentico (Authentic Socialist Party)",,,,"Argentina",
"Partido de los Trabajadores Socialistas (PTS) (Socialist Workers Party)",,,,"Argentina",
"Coalici",,,,"Argentina",
"Movimiento al Socialismo (MAS) (Movement to Socialism)",,,,"Argentina",
"Partido Obrero (PO) (Worker's Party)",8082,"PO","Workers' Party","Argentina",
"Movimiento Libres del Sur (Freemen of the South Movement)",,,,"Argentina",
"Kirchnerismo - Unidad Cuidadana/Frente para la Victoria",,,,"Argentina",
"Peronismo/justicialismo no Kirchnerista",,,,"Argentina",
"Frente Popular (Popular Front)",,,,"Argentina",
"Propuesta Republicana – PRO (Republican Proposal)",1790,"PRO","Republican Proposal","Argentina",
"Generacion para un encuentro nacional (GEN) (Generation for a national encounter)",8045,"GEN","Generation for a National Encounter","Argentina",
"La Libertad Avanza/Libertarios/Javier Milei",,,,"Argentina",
"Frente de Todos/Peronismo",,,,"Argentina",
"Juntos por el cambio",,,,"Argentina",
"UCR (Union Civica Radical)",1724,"UCR","Radical Civic Union","Argentina",
"PRO (Propuesta Republicana)",1790,"PRO","Republican Proposal","Argentina",
"Coalición Cívica ARI (CC ARI)",6159,"CC","Civic Coalition ARI","Argentina",
"Frepaso",5553,"FREPASO","Front for a Country in Solidarity","Argentina",
"Modin",4181,"MODIN","Movement for Dignity and Independence","Argentina",
"Justicialista Party",623,"PJ","Justicialist [Peronist] Party","Argentina",
"Alianza UCR Frepaso",,,,"Argentina",
"Justicialist [Peronist] Party, Daniel Scioli, Florencio",623,"PJ","Justicialist [Peronist] Party","Argentina",
"UCR Frepaso Alliance",,,,"Argentina",
"Action for the Republic, Domingo Cavallo",6112,"AR","Action for the Republic","Argentina",
"Cristina Fernandez Kirchner",,,,"Argentina",
"Ricardo Alfonsin",,,,"Argentina",
"Lopez Murphy Party (Recrear)",1116,"Recrear","Recreate for Growth","Argentina",
"Compromise for change, Macri Party",2529,"CPC","Commitment to Change","Argentina",
"Eliza Carrio Party (ARI)",1215,"ARI","Support for an Egalitarian Republic","Argentina",
"Lavagna group",,,,"Argentina",
"Citizen's Unity, Cristina Fernandez de Kirchner",7664,"CU","Citizen's Unity","Argentina",
"Socialist Party, Hermes Binner",1365,"PS","Socialist Party","Argentina",
"Radical Civic Union, Ricardo Alfonsin",1724,"UCR","Radical Civic Union","Argentina",
"Together for Change, Macri",,,,"Argentina",
"Justicialist [Peronist] Party, Daniel Scioli, Florencio Randazzo",623,"PJ","Justicialist [Peronist] Party","Argentina",
"Front for Victory",2530,"FPV-PJ","Front for Victory","Argentina",
"Republican Proposal, Maria Eugenia Vidal",1790,"PRO","Republican Proposal","Argentina",
"Heritage Party",3783,"HePa","Heritage Party","Armenia",
"People's Party",8367,"ZK","People's Party","Armenia",
"Republic Party",,,,"Armenia",
"Armenian Revolutionary Federation",2020,"HHD","Armenian Revolutionary Federation","Armenia",
"Communist Party of Armenia",8012,"CPA","Communist Party of Armenia","Armenia",
"Impeachment Alliance",,,,"Armenia",
"National Democratic Union",2009,"AZhM","National Democratic Union","Armenia",
"National Unity",2011,"AM","National Unity","Armenia",
"New Times",,,,"Armenia",
"Pan-Armenian National Movement",4365,"HHS","Pan-Armenian National Movement","Armenia",
"Peoples Party of Armenia",,,,"Armenia",
"Prosperous Armenia",4205,"BHK","Prosperous Armenia Party","Armenia",
"Republican Party of Armenia",2013,"HHK","Republican Party of Armenia","Armenia",
"Republic",2012,"HA","Republic","Armenia",
"Rule of Law",2007,"OEK/HV","Rule of Law / Armenian Renaissance","Armenia",
"Dashink' Party",4206,"DP","Dashinq Party/Union Party","Armenia",
"United Labour Party",2016,"MAK","United Labour Party","Armenia",
"Armenian Communist Party",2018,"HKK","Armenian Communist Party","Armenia",
"'Exit' (Way out) Party Union",,,,"Armenia",
"Free Democrats Party",,,,"Armenia",
"Democratic Party of Armenia",6237,"DPA","Democratic Party of Armenia","Armenia",
"Armenian National Congress (former All-Armenian Movement)",4539,"HAK","Armenian National Congress","Armenia",
"People’s Party of Armenia",,,,"Armenia",
"Tsarukyan Block (Prosperous Armenia Party)",8804,"TD","Tsarukyan Alliance","Armenia",
"'Apricot`s country' Party",,,,"Armenia",
"Armenian Renaissance Party (Former Rule of Law)",2007,"OEK/HV","Rule of Law / Armenian Renaissance","Armenia",
"Social Democrat Hunchakian Party",,,,"Armenia",
"Pan-Armenian National Movement - Hayots Hamazgayin Shargzum (HHSh)",4365,"HHS","Pan-Armenian National Movement","Armenia",
"Armenian Revolutionary Federation - Hay Heghapokhakan Dashnaktsutyun (HHD)",2020,"HHD","Armenian Revolutionary Federation","Armenia",
"Armenian Communist Party - Hayastani Komunistakan Kusaktsutyun (HKK)",2018,"HKK","Armenian Communist Party","Armenia",
"Armenian Democratic Liberal Party - Hayastani Ramkavar Azatakan Kusaktsutyun (HRAK)",,,,"Armenia",
"National Unity - Azgayin Gzoghovrdakan Miutyun (AGzM)",2011,"AM","National Unity","Armenia",
"Azgayin Inknoroshum Miavorum",,,,"Armenia",
"Democratic Party of Armenia - Hayastani Demokratakan Kusaktsutyun (HDK)",6237,"DPA","Democratic Party of Armenia","Armenia",
"Sotsial-Demokratakan Hnchakyan Kusaktsutyun",,,,"Armenia",
"Republican Party of Armenia - Hayastani Hanrapetakan Kusaksutyun (HHK)",2013,"HHK","Republican Party of Armenia","Armenia",
"Kristonya-Demokratakan Miutyun (KDM)",,,,"Armenia",
"Sahmanadrakan Iravunk Miutyun (SIM)",,,,"Armenia",
"Tagavorakan Kusaktsutyun (TaK)",,,,"Armenia",
"Gita-ardyunaberakan ev Kaghakatsiakan Miutyun (GKM)",,,,"Armenia",
"Artsakh-Hayastan Hasarakakan-Kaghakakan Kazmakerputyun AHKK",,,,"Armenia",
"Shamiram Women's Movement (SWM)",2015,"Sha","Semiramis (Women’s Movement)","Armenia",
"Rule of Law / Armenian Renaissance",2007,"OEK/HV","Rule of Law / Armenian Renaissance","Armenia",
"Amenian National Congress",,,,"Armenia",
"Civil Contract",7754,"KP","Civil Contract","Armenia",
"Bright Armenia",7507,"BA","Bright Armenia","Armenia",
"Citizen’s Decision",,,,"Armenia",
"Sasna Tsrer Pan-Armenian Party",,,,"Armenia",
"Mighty Homeland",,,,"Armenia",
"National Agenda Party",,,,"Armenia",
"Armenian Alliance",,,,"Armenia",
"Christian-Democratic Rebirth Party",,,,"Armenia",
"Liberal Democratic Party",9149,"LDP","Liberal Democratic Party","Australia",
"Liberal",486,"LPA","Liberal Party of Australia","Australia",
"Nationals",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia",
"Labor",424,"ALP","Australian Labor Party","Australia",
"Greens",1209,"AG","Australian Greens","Australia",
"Liberal National Party (LNP)",285,"LNPQ","Liberal National Party of Queensland","Australia",
"Christian Democratic Party",323,"CDP","Christian Democratic Party","Australia",
"Family First Party",1263,"FFP","Family First Party","Australia",
"One Nation",1162,"ONP","One Nation Party","Australia",
"Shooters, Fishers, and Farmers Party",,,,"Australia",
"Liberal Democrats",9149,"LDP","Liberal Democratic Party","Australia",
"The Australian Sex Party",,,,"Australia",
"Nick Xenophon Team",5453,"NXT","Nick Xenophon Team","Australia",
"Labour Party",424,"ALP","Australian Labor Party","Australia",
"Liberal Democratic Party (LDP)",9149,"LDP","Liberal Democratic Party","Australia",
"Christian Democratic Party (CDP)",323,"CDP","Christian Democratic Party","Australia",
"Liberal Party",486,"LPA","Liberal Party of Australia","Australia",
"National Party of Australia",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia",
"Australian Labor Party",424,"ALP","Australian Labor Party","Australia",
"Australian Democrats",990,"AD","Australian Democrats","Australia",
"Australian Greens",1209,"AG","Australian Greens","Australia",
"National Party",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia",
"Democratic Labor Party",1540,"DLP","Democratic Labour Party","Australia",
"Labor Party",424,"ALP","Australian Labor Party","Australia",
"The Greens",1209,"AG","Australian Greens","Australia",
"Democrats",990,"AD","Australian Democrats","Australia",
"One Nation Party",1162,"ONP","One Nation Party","Australia",
"Katter's Australia Party",1997,"Katter","Katter's Australian Party","Australia",
"Palmer United Party",1996,"PUP","Palmer United Party","Australia",
"Citizens Electoral Council",,,,"Australia",
"Australian Shooters Party",,,,"Australia",
"Motoring Enthusiasts Party",,,,"Australia",
"Australian Christians",,,,"Australia",
"Democratic Labour Party",1540,"DLP","Democratic Labour Party","Australia",
"United Australia Party",566,"UAP","United Australia Party","Australia",
"Pauline Hanson's One Nation",1162,"ONP","One Nation Party","Australia",
"Animal Justice Party",,,,"Australia",
"Fraser Anning's Conservative National Party",,,,"Australia",
"Katter's Australian Party",1997,"Katter","Katter's Australian Party","Australia",
"Centre Alliance",5453,"NXT","Nick Xenophon Team","Australia",
"Shooters, Fishers and Farmers",,,,"Australia",
"Derryn Hinch's Justice Party",,,,"Australia",
"Science Party",,,,"Australia",
"Victorian Socialists",,,,"Australia",
"Reason Australia",,,,"Australia",
"Socialist Alliance",,,,"Australia",
"VOTEFLUX.ORG | Upgrade Democracy!",,,,"Australia",
"Pirate Party Australia",,,,"Australia",
"Health Australia Party",,,,"Australia",
"Australian Conservatives",,,,"Australia",
"Help End Marijuana Prohibition (HEMP) Party",,,,"Australia",
"Jacqui Lambie Network",,,,"Australia",
"Liberal party",486,"LPA","Liberal Party of Australia","Australia",
"Australian Labour Party",424,"ALP","Australian Labor Party","Australia",
"National (Country) Party",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia",
"Nuclear Disarmament Party",,,,"Australia",
"Australian Labor Party - ALP",424,"ALP","Australian Labor Party","Australia",
"Nuclear Disarmanent",,,,"Australia",
"Australian Labour party",424,"ALP","Australian Labor Party","Australia",
